import_path,top_level,status,distributions,evidence,evidence_type
PyQt5.QtGui,PyQt5,resolved,"[""pyqt5""]",https://files.pythonhosted.org/packages/f3/f0/ae5a5b4f9b826b29ea4be841b2f2d951bcf5ae1d802f3732b145b57c5355/PyQt5-5.15.11-cp38-abi3-win32.whl#sha256=76be0322ceda5deecd1708a8d628e698089a1cea80d1a49d242a6d579a40babd,file_metadata_exact
PyQt5.QtWidgets,PyQt5,resolved,"[""pyqt5""]",https://files.pythonhosted.org/packages/f3/f0/ae5a5b4f9b826b29ea4be841b2f2d951bcf5ae1d802f3732b145b57c5355/PyQt5-5.15.11-cp38-abi3-win32.whl#sha256=76be0322ceda5deecd1708a8d628e698089a1cea80d1a49d242a6d579a40babd,file_metadata_exact
PySide6,PySide6,unknown,[],,no_independent_evidence
PySide6.QtCore,PySide6,unknown,[],,no_independent_evidence
PyYAML,PyYAML,unknown,[],,no_independent_evidence
Quartz,Quartz,resolved,"[""pyobjc-framework-quartz""]",https://files.pythonhosted.org/packages/3c/94/2c9839958b0a2a040e22cca145040a8fc2612f099eda7524900d741f560d/pyobjc_framework_quartz-12.2.2-cp310-cp310-macosx_10_9_universal2.whl#sha256=d89a5f47c079b5c340d2b1cbb83eb6c4c92d4bb17cd4daf7d8c02c91a49f5399,file_metadata_exact
Quartz.CF,Quartz,resolved_top_only,"[""pyobjc-framework-quartz""]",https://files.pythonhosted.org/packages/3c/94/2c9839958b0a2a040e22cca145040a8fc2612f099eda7524900d741f560d/pyobjc_framework_quartz-12.2.2-cp310-cp310-macosx_10_9_universal2.whl#sha256=d89a5f47c079b5c340d2b1cbb83eb6c4c92d4bb17cd4daf7d8c02c91a49f5399,subpath_unverified
Quartz.Cocoa,Quartz,resolved_top_only,"[""pyobjc-framework-quartz""]",https://files.pythonhosted.org/packages/3c/94/2c9839958b0a2a040e22cca145040a8fc2612f099eda7524900d741f560d/pyobjc_framework_quartz-12.2.2-cp310-cp310-macosx_10_9_universal2.whl#sha256=d89a5f47c079b5c340d2b1cbb83eb6c4c92d4bb17cd4daf7d8c02c91a49f5399,subpath_unverified
Quartz.Cocoa.AppKit,Quartz,resolved_top_only,"[""pyobjc-framework-quartz""]",https://files.pythonhosted.org/packages/3c/94/2c9839958b0a2a040e22cca145040a8fc2612f099eda7524900d741f560d/pyobjc_framework_quartz-12.2.2-cp310-cp310-macosx_10_9_universal2.whl#sha256=d89a5f47c079b5c340d2b1cbb83eb6c4c92d4bb17cd4daf7d8c02c91a49f5399,subpath_unverified
Quartz.Cocoa.Base,Quartz,resolved_top_only,"[""pyobjc-framework-quartz""]",https://files.pythonhosted.org/packages/3c/94/2c9839958b0a2a040e22cca145040a8fc2612f099eda7524900d741f560d/pyobjc_framework_quartz-12.2.2-cp310-cp310-macosx_10_9_universal2.whl#sha256=d89a5f47c079b5c340d2b1cbb83eb6c4c92d4bb17cd4daf7d8c02c91a49f5399,subpath_unverified
