model,method,fold,n,ast_failure,tokenizer_error,ast_failure_no_import_complete_tokenization,mapping_known,mapping_correct,label_known,label_agree,unknown_answers,known_valid_packages,known_hall_packages,unknown_package_slots,archived_sample_hr,archived_package_hr,archived_valid_rate,audited_sample_hr_lower,audited_sample_hr_upper,audited_sample_hr_tokenizer_scenario_upper,audited_package_hr_one_slot_min,audited_package_hr_one_slot_max,audited_valid_rate_lower,audited_valid_rate_upper,audited_valid_rate_tokenizer_scenario_upper
llama3.1,MEMIT,A,500,43,4,3,292,182,287,177,213,613,7,345,0.31,0.21299638989169675,0.698,0.014,0.492,0.442,0.007253886010362694,0.36476683937823834,0.666,0.898,0.892
llama3.1,MEMIT,B,500,44,3,2,291,187,287,183,213,605,2,350,0.346,0.23732718894009217,0.7,0.004,0.502,0.436,0.0020898641588296763,0.367816091954023,0.666,0.902,0.898
llama3.1,MEMIT,C,500,45,3,4,289,182,284,177,216,599,7,355,0.338,0.23739237392373924,0.668,0.014,0.514,0.45,0.007284079084287201,0.37669094693028093,0.66,0.902,0.894
llama3.1,MEMIT,D,500,45,5,1,288,185,284,181,216,613,4,336,0.348,0.23990498812351543,0.69,0.008,0.512,0.448,0.004197271773347324,0.3567681007345226,0.678,0.904,0.902
llama3.1,DINM,A,500,481,449,21,454,450,454,450,46,15,0,58,0.038,0.5409836065573771,0.044,0.0,0.974,0.93,0.0,0.7945205479452054,0.03,0.976,0.934
llama3.1,DINM,B,500,493,490,3,499,499,499,499,1,0,0,1,0.0,0,0.0,0.0,0.986,0.98,0.0,1.0,0.0,0.986,0.98
llama3.1,DINM,C,500,489,486,3,499,499,499,499,1,1,0,1,0.0,0.0,0.002,0.0,0.98,0.974,0.0,0.5,0.002,0.982,0.976
llama3.1,DINM,D,500,493,374,119,499,499,499,499,1,0,0,1,0.0,0,0.0,0.0,0.986,0.748,0.0,1.0,0.0,0.986,0.748
llama3.1,Full-FT,A,500,40,6,33,499,499,499,499,1,2,0,1,0.0,0.0,0.002,0.0,0.08,0.014,0.0,0.3333333333333333,0.002,0.08,0.014
llama3.1,Full-FT,B,500,14,0,14,500,500,500,500,0,0,0,0,0.0,0,0.0,0.0,0.028,0.0,0,0,0.0,0.028,0.0
llama3.1,Full-FT,C,500,4,0,4,500,500,500,500,0,0,0,0,0.0,0,0.0,0.0,0.008,0.0,0,0,0.0,0.008,0.0
llama3.1,Full-FT,D,500,95,8,87,500,500,500,500,0,0,0,0,0.0,0,0.0,0.0,0.19,0.016,0,0,0.0,0.19,0.016
