model,prompt_id,n,sample_hr,stratum
Qwen3,767,5,1.0,high
Qwen3,799,5,0.0,clean
Qwen3,826,5,0.0,clean
Qwen3,833,5,0.0,clean
Qwen3,853,5,0.0,clean
Qwen3,855,5,0.0,clean
Qwen3,868,5,0.0,clean
Qwen3,875,5,0.0,clean
Qwen3,898,5,0.0,clean
Qwen3,900,5,0.0,clean
Qwen3,933,5,0.0,clean
Qwen3,946,5,0.0,clean
Qwen3,985,5,0.0,clean
Qwen3,1067,5,0.0,clean
Qwen3,1085,5,0.0,clean
Qwen3,1102,5,0.0,clean
Qwen3,1116,5,0.0,clean
Qwen3,1133,5,0.0,clean
Qwen3,1162,5,0.0,clean
Qwen3,1185,5,0.0,clean
Qwen3,1194,5,0.0,clean
Qwen3,1198,5,0.0,clean
Qwen3,1220,5,0.0,clean
Qwen3,1222,5,0.0,clean
Qwen3,1250,5,1.0,high
Qwen3,1276,5,0.8,high
Qwen3,1325,5,0.0,clean
Qwen3,1461,5,0.0,clean
Qwen3,1462,5,0.0,clean
Qwen3,1479,5,0.0,clean
Qwen3,1492,5,0.0,clean
Qwen3,1510,5,0.8,high
Qwen3,1517,5,0.0,clean
Qwen3,1519,5,0.0,clean
Qwen3,1569,5,0.0,clean
Qwen3,1637,5,0.0,clean
Qwen3,1647,5,0.0,clean
Qwen3,1679,5,0.0,clean
Qwen3,1702,5,0.0,clean
Qwen3,1712,5,0.0,clean
Qwen3,1741,5,0.0,clean
Qwen3,1784,5,0.0,clean
Qwen3,1806,5,0.4,low_or_moderate
Qwen3,1830,5,0.0,clean
Qwen3,1834,5,0.0,clean
Qwen3,1890,5,0.0,clean
Qwen3,1924,5,0.0,clean
Qwen3,1930,5,0.0,clean
Qwen3,1941,5,0.0,clean
Qwen3,1985,5,0.0,clean
Qwen3,1993,5,0.8,high
Qwen3,2003,5,0.0,clean
Qwen3,2053,5,0.0,clean
Qwen3,2066,5,0.4,low_or_moderate
Qwen3,2086,5,0.0,clean
Qwen3,2087,5,0.0,clean
Qwen3,2192,5,0.2,low_or_moderate
Qwen3,2211,5,0.0,clean
Qwen3,2244,5,0.0,clean
Qwen3,2253,5,0.0,clean
Qwen3,2264,5,0.0,clean
Qwen3,2342,5,0.0,clean
Qwen3,2352,5,0.0,clean
Qwen3,2373,5,0.2,low_or_moderate
Qwen3,2395,5,0.0,clean
Qwen3,2410,5,0.0,clean
Qwen3,2413,5,0.0,clean
Qwen3,2421,5,0.0,clean
Qwen3,2451,5,0.4,low_or_moderate
Qwen3,2464,5,0.0,clean
Qwen3,2512,5,0.0,clean
Qwen3,2531,5,0.0,clean
Qwen3,2560,5,0.0,clean
Qwen3,2598,5,0.0,clean
Qwen3,2626,5,0.0,clean
Qwen3,2640,5,0.0,clean
Qwen3,2645,5,0.0,clean
Qwen3,2664,5,0.0,clean
Qwen3,2670,5,0.0,clean
Qwen3,2675,5,0.0,clean
Qwen3,2684,5,0.0,clean
Qwen3,2708,5,0.0,clean
Qwen3,2718,5,0.0,clean
Qwen3,2733,5,0.0,clean
Qwen3,2739,5,0.0,clean
Qwen3,2754,5,0.0,clean
Qwen3,2794,5,0.0,clean
Qwen3,2817,5,0.0,clean
Qwen3,2822,5,0.0,clean
Qwen3,2852,5,0.0,clean
Qwen3,2868,5,0.0,clean
Qwen3,2876,5,0.0,clean
Qwen3,2893,5,0.0,clean
Qwen3,2957,5,0.0,clean
Qwen3,2983,5,0.0,clean
Qwen3,3016,5,0.4,low_or_moderate
Qwen3,3063,5,0.0,clean
Qwen3,3096,5,0.2,low_or_moderate
Qwen3,3166,5,0.0,clean
Qwen3,3191,5,0.0,clean
Qwen3,3252,5,1.0,high
Qwen3,3303,5,0.0,clean
Qwen3,3362,5,0.0,clean
Qwen3,3387,5,0.0,clean
Qwen3,3404,5,0.0,clean
Qwen3,3411,5,0.0,clean
Qwen3,3447,5,0.0,clean
Qwen3,3477,5,0.0,clean
Qwen3,3549,5,0.2,low_or_moderate
Qwen3,3572,5,0.0,clean
Qwen3,3593,5,0.0,clean
Qwen3,3597,5,0.0,clean
Qwen3,3622,5,0.0,clean
Qwen3,3650,5,0.0,clean
Qwen3,3674,5,0.2,low_or_moderate
Qwen3,3709,5,0.0,clean
Qwen3,3716,5,0.0,clean
Qwen3,3722,5,0.0,clean
